staff_id,timestamp,lat,lon,status,role
PS_01,2026-01-30T16:00:00Z,38.90475587140316,-77.02227299043828,On Foot,Public Safety
PS_01,2026-01-30T16:00:30Z,38.90483029742611,-77.0224203941681,On Foot,Public Safety
PS_01,2026-01-30T16:01:00Z,38.90472192073471,-77.02231353081476,On Foot,Public Safety
PS_01,2026-01-30T16:01:30Z,38.90486421894761,-77.02223216113036,On Foot,Public Safety
PS_01,2026-01-30T16:02:00Z,38.90500000953834,-77.02222470529307,On Foot,Public Safety
PS_01,2026-01-30T16:02:30Z,38.90492373644883,-77.02207708972337,On Foot,Public Safety
PS_01,2026-01-30T16:03:00Z,38.904813369140264,-77.02217071866069,On Foot,Public Safety
PS_01,2026-01-30T16:03:30Z,38.90489537313437,-77.02206355526118,On Foot,Public Safety
PS_01,2026-01-30T16:04:00Z,38.9048183302171,-77.02209120435258,On Foot,Public Safety
PS_01,2026-01-30T16:04:30Z,38.90476030851854,-77.02196385363256,On Foot,Public Safety
PS_01,2026-01-30T16:05:00Z,38.90483904762724,-77.02185389733293,On Foot,Public Safety
PS_01,2026-01-30T16:05:30Z,38.90481343577684,-77.02194793733544,On Foot,Public Safety
PS_01,2026-01-30T16:06:00Z,38.90481979693249,-77.02181337267123,On Foot,Public Safety
PS_01,2026-01-30T16:06:30Z,38.904815142297686,-77.02192458421771,On Foot,Public Safety
PS_01,2026-01-30T16:07:00Z,38.904827347005174,-77.02186884284286,On Foot,Public Safety
PS_01,2026-01-30T16:07:30Z,38.90489214113683,-77.02173988419744,On Foot,Public Safety
PS_01,2026-01-30T16:08:00Z,38.90499924711442,-77.02184573994269,On Foot,Public Safety
PS_01,2026-01-30T16:08:30Z,38.9051454467381,-77.02196834890543,On Foot,Public Safety
PS_01,2026-01-30T16:09:00Z,38.90511844607856,-77.02199277992369,On Foot,Public Safety
PS_01,2026-01-30T16:09:30Z,38.90508040040934,-77.02192790179248,On Foot,Public Safety
PS_02,2026-01-30T16:00:00Z,38.90432858900509,-77.020398362755,On Foot,Public Safety
PS_02,2026-01-30T16:00:30Z,38.904436745093584,-77.02042699269894,On Foot,Public Safety
PS_02,2026-01-30T16:01:00Z,38.904421374014625,-77.02043220187285,On Foot,Public Safety
PS_02,2026-01-30T16:01:30Z,38.90433132917437,-77.02054288005428,On Foot,Public Safety
PS_02,2026-01-30T16:02:00Z,38.90446776536416,-77.02064606242476,On Foot,Public Safety
PS_02,2026-01-30T16:02:30Z,38.90442407903862,-77.0205739362546,On Foot,Public Safety
PS_02,2026-01-30T16:03:00Z,38.90448045251703,-77.02059211647881,On Foot,Public Safety
PS_02,2026-01-30T16:03:30Z,38.90453330697712,-77.02046964183363,On Foot,Public Safety
PS_02,2026-01-30T16:04:00Z,38.904458652422306,-77.02051251706729,On Foot,Public Safety
PS_02,2026-01-30T16:04:30Z,38.904331974659286,-77.02049144686134,On Foot,Public Safety
PS_02,2026-01-30T16:05:00Z,38.904198352215325,-77.02055999254002,On Foot,Public Safety
PS_02,2026-01-30T16:05:30Z,38.90409667727951,-77.02042543775717,On Foot,Public Safety
PS_02,2026-01-30T16:06:00Z,38.90422104836072,-77.02042389429808,On Foot,Public Safety
PS_02,2026-01-30T16:06:30Z,38.904186983812735,-77.0205589816766,On Foot,Public Safety
PS_02,2026-01-30T16:07:00Z,38.904156314546896,-77.02048816673383,On Foot,Public Safety
PS_02,2026-01-30T16:07:30Z,38.904027070872736,-77.02061254812209,On Foot,Public Safety
PS_02,2026-01-30T16:08:00Z,38.90417481117065,-77.02051572286474,On Foot,Public Safety
PS_02,2026-01-30T16:08:30Z,38.904034530406655,-77.02039332267285,On Foot,Public Safety
PS_02,2026-01-30T16:09:00Z,38.90395142687719,-77.02050028904611,On Foot,Public Safety
PS_02,2026-01-30T16:09:30Z,38.904100518533326,-77.02056154906363,On Foot,Public Safety
PS_03,2026-01-30T16:00:00Z,38.904549211971705,-77.02143229298206,On Foot,Public Safety
PS_03,2026-01-30T16:00:30Z,38.90443214638786,-77.02145299406658,On Foot,Public Safety
PS_03,2026-01-30T16:01:00Z,38.90452807950589,-77.02144230655014,On Foot,Public Safety
PS_03,2026-01-30T16:01:30Z,38.90453956210821,-77.0213234378017,On Foot,Public Safety
PS_03,2026-01-30T16:02:00Z,38.90463170845383,-77.0213472215933,On Foot,Public Safety
PS_03,2026-01-30T16:02:30Z,38.90466516553077,-77.02129324804818,On Foot,Public Safety
PS_03,2026-01-30T16:03:00Z,38.90469655234441,-77.0212632948721,On Foot,Public Safety
PS_03,2026-01-30T16:03:30Z,38.90474911717551,-77.02135022003381,On Foot,Public Safety
PS_03,2026-01-30T16:04:00Z,38.90465486236188,-77.02123100428253,On Foot,Public Safety
PS_03,2026-01-30T16:04:30Z,38.90480360535294,-77.02122556575394,On Foot,Public Safety
PS_03,2026-01-30T16:05:00Z,38.904708393096364,-77.02129034932628,On Foot,Public Safety
PS_03,2026-01-30T16:05:30Z,38.90470685625285,-77.0211697342304,On Foot,Public Safety
PS_03,2026-01-30T16:06:00Z,38.90475581364367,-77.02102040604454,On Foot,Public Safety
PS_03,2026-01-30T16:06:30Z,38.904652004247986,-77.02111883613085,On Foot,Public Safety
PS_03,2026-01-30T16:07:00Z,38.904708389313164,-77.02107157728862,On Foot,Public Safety
