track_id,person_id,lat,lon,timestamp,status
1,PATROL_01,38.90395,-77.02285,2026-02-01T12:00:00Z,active
2,PATROL_02,38.90585,-77.0224,2026-02-01T12:00:00Z,active
3,PATROL_03,38.90455,-77.0241,2026-02-01T12:00:00Z,active
1,PATROL_01,38.90405,-77.02265,2026-02-01T12:00:10Z,active
2,PATROL_02,38.90595,-77.02215,2026-02-01T12:00:10Z,active
3,PATROL_03,38.9047,-77.02405,2026-02-01T12:00:10Z,active
1,PATROL_01,38.9042,-77.02255,2026-02-01T12:00:20Z,active
2,PATROL_02,38.906,-77.02195,2026-02-01T12:00:20Z,active
3,PATROL_03,38.90485,-77.02392,2026-02-01T12:00:20Z,active
1,PATROL_01,38.9043,-77.0227,2026-02-01T12:00:30Z,active
2,PATROL_02,38.9059,-77.02185,2026-02-01T12:00:30Z,active
3,PATROL_03,38.9049,-77.02372,2026-02-01T12:00:30Z,active
1,PATROL_01,38.90435,-77.02295,2026-02-01T12:00:40Z,active
2,PATROL_02,38.90575,-77.0219,2026-02-01T12:00:40Z,active
3,PATROL_03,38.9048,-77.02355,2026-02-01T12:00:40Z,active
1,PATROL_01,38.90425,-77.0231,2026-02-01T12:00:50Z,active
2,PATROL_02,38.90565,-77.02205,2026-02-01T12:00:50Z,active
3,PATROL_03,38.90462,-77.02352,2026-02-01T12:00:50Z,active
1,PATROL_01,38.9041,-77.02305,2026-02-01T12:01:00Z,active
2,PATROL_02,38.9056,-77.02225,2026-02-01T12:01:00Z,active
3,PATROL_03,38.90445,-77.02362,2026-02-01T12:01:00Z,active
1,PATROL_01,38.90398,-77.02292,2026-02-01T12:01:10Z,active
2,PATROL_02,38.90565,-77.02245,2026-02-01T12:01:10Z,active
3,PATROL_03,38.90435,-77.0238,2026-02-01T12:01:10Z,active
1,PATROL_01,38.9039,-77.02275,2026-02-01T12:01:20Z,active
2,PATROL_02,38.9058,-77.02255,2026-02-01T12:01:20Z,active
3,PATROL_03,38.9044,-77.024,2026-02-01T12:01:20Z,active
1,PATROL_01,38.90398,-77.0226,2026-02-01T12:01:30Z,active
2,PATROL_02,38.90595,-77.0225,2026-02-01T12:01:30Z,active
3,PATROL_03,38.90455,-77.02415,2026-02-01T12:01:30Z,active
1,PATROL_01,38.90412,-77.02258,2026-02-01T12:01:40Z,active
2,PATROL_02,38.90602,-77.0223,2026-02-01T12:01:40Z,active
3,PATROL_03,38.90472,-77.02418,2026-02-01T12:01:40Z,active
1,PATROL_01,38.90425,-77.02268,2026-02-01T12:01:50Z,active
2,PATROL_02,38.906,-77.0221,2026-02-01T12:01:50Z,active
3,PATROL_03,38.90488,-77.02408,2026-02-01T12:01:50Z,active
1,PATROL_01,38.90433,-77.02285,2026-02-01T12:02:00Z,active
2,PATROL_02,38.90588,-77.02198,2026-02-01T12:02:00Z,active
3,PATROL_03,38.90498,-77.0239,2026-02-01T12:02:00Z,active
1,PATROL_01,38.90425,-77.023,2026-02-01T12:02:10Z,active
2,PATROL_02,38.90572,-77.02205,2026-02-01T12:02:10Z,active
3,PATROL_03,38.90495,-77.0237,2026-02-01T12:02:10Z,active
1,PATROL_01,38.9041,-77.0231,2026-02-01T12:02:20Z,active
2,PATROL_02,38.90562,-77.0222,2026-02-01T12:02:20Z,active
3,PATROL_03,38.90478,-77.02358,2026-02-01T12:02:20Z,active
1,PATROL_01,38.90398,-77.023,2026-02-01T12:02:30Z,active
2,PATROL_02,38.90565,-77.02238,2026-02-01T12:02:30Z,active
3,PATROL_03,38.90458,-77.0236,2026-02-01T12:02:30Z,active
1,PATROL_01,38.9039,-77.0229,2026-02-01T12:02:40Z,active
2,PATROL_02,38.90578,-77.02248,2026-02-01T12:02:40Z,active
3,PATROL_03,38.90442,-77.02375,2026-02-01T12:02:40Z,active
1,PATROL_01,38.90392,-77.02275,2026-02-01T12:02:50Z,active
2,PATROL_02,38.90585,-77.0224,2026-02-01T12:02:50Z,active
3,PATROL_03,38.90445,-77.02395,2026-02-01T12:02:50Z,active
1,PATROL_01,38.90395,-77.02285,2026-02-01T12:03:00Z,active
2,PATROL_02,38.90595,-77.02215,2026-02-01T12:03:00Z,active
3,PATROL_03,38.90455,-77.0241,2026-02-01T12:03:00Z,active
1,PATROL_01,38.90405,-77.02265,2026-02-01T12:03:10Z,active
2,PATROL_02,38.906,-77.02195,2026-02-01T12:03:10Z,active
